 
****************************************
Report : timing
        -path end
        -delay max
Design : FPAddSub_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:20:10 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
pipe_2_reg[11]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[58]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[10]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[57]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[9]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[51]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[50]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[49]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[48]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[47]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[46]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[45]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[44]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[43]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[42]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[41]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[40]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[39]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[38]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[37]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[36]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[35]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[34]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[33]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[32]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[31]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[30]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[29]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[28]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[4]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_3_reg[4]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[27]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[3]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_3_reg[3]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[26]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[2]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_3_reg[2]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[25]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[1]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_3_reg[1]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[24]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[0]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_3_reg[0]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[23]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[22]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[21]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[20]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[19]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[18]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[17]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[16]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[15]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[14]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[13]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[12]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[11]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[10]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[9]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[8]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[7]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[6]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[5]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[4]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[3]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[2]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[1]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
