 
****************************************
Report : timing
        -path end
        -delay max
Design : FPMult_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:12:40 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
pipe_2_reg[32]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[31]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[30]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[29]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[28]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[27]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[26]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[25]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[24]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[23]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[22]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[21]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[20]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[19]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[18]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[17]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[16]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[15]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[14]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[13]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[12]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[11]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[10]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[9]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_2_reg[8]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_2_reg[7]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_2_reg[6]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_2_reg[5]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_2_reg[4]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_2_reg[3]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_2_reg[2]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_2_reg[1]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_2_reg[0]/CLK (DFFPOSX1)        0.00 r        infinity     infinity

1
 
****************************************
Report : timing
        -path end
        -delay max
Design : FPMult_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:12:40 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
------------------------------------------------------------------------
pipe_2_reg[27]/D (DFFPOSX1)         1.94 f            1.94         0.00
pipe_2_reg[30]/D (DFFPOSX1)         1.94 f            1.94         0.00
pipe_2_reg[29]/D (DFFPOSX1)         1.93 f            1.94         0.01
pipe_2_reg[28]/D (DFFPOSX1)         1.93 f            1.94         0.01
pipe_2_reg[31]/D (DFFPOSX1)         1.91 f            1.94         0.03
pipe_2_reg[25]/D (DFFPOSX1)         1.91 f            1.94         0.04
pipe_2_reg[26]/D (DFFPOSX1)         1.89 f            1.94         0.06
pipe_2_reg[22]/D (DFFPOSX1)         1.88 f            1.94         0.06
pipe_2_reg[19]/D (DFFPOSX1)         1.86 f            1.94         0.09
pipe_2_reg[17]/D (DFFPOSX1)         1.86 f            1.94         0.09
pipe_2_reg[4]/D (DFFPOSX1)          1.86 f            1.94         0.09
pipe_2_reg[3]/D (DFFPOSX1)          1.86 f            1.94         0.09
pipe_2_reg[2]/D (DFFPOSX1)          1.86 f            1.94         0.09
pipe_2_reg[1]/D (DFFPOSX1)          1.86 f            1.94         0.09
pipe_2_reg[0]/D (DFFPOSX1)          1.86 f            1.94         0.09
pipe_2_reg[21]/D (DFFPOSX1)         1.86 f            1.94         0.09
pipe_2_reg[20]/D (DFFPOSX1)         1.86 f            1.94         0.09
pipe_2_reg[18]/D (DFFPOSX1)         1.86 f            1.94         0.09
pipe_2_reg[16]/D (DFFPOSX1)         1.86 f            1.94         0.09
pipe_2_reg[15]/D (DFFPOSX1)         1.86 f            1.94         0.09
pipe_2_reg[14]/D (DFFPOSX1)         1.86 f            1.94         0.09
